"No.","Time","Delta","Source","Source MAC","SRC Port","Destination","Dst MAC","DST Port","Protocol","Length","Info"
"449","2022-11-15 16:18:03.166804","0.100716","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.192? Tell 12.227.228.129"
"450","2022-11-15 16:18:03.166804","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.229? Tell 12.227.228.129"
"451","2022-11-15 16:18:03.166804","0.000000","10.31.0.238","52:bb:da:78:be:1f","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","177","Standard query response 0x0000 PTR iPhone (72)._rdlink._tcp.local TXT OPT"
"452","2022-11-15 16:18:03.166804","0.000000","fe80::ca3:1084:f3ae:7ada","52:bb:da:78:be:1f","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","197","Standard query response 0x0000 PTR iPhone (72)._rdlink._tcp.local TXT OPT"
"453","2022-11-15 16:18:03.199598","0.032794","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57331","TCP","97","[TCP Retransmission] 443  >  57331 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
"454","2022-11-15 16:18:03.228555","0.028957","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57337","TLSv1.2","97","Application Data"
"455","2022-11-15 16:18:03.234349","0.005794","52.96.179.226","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57334","TLSv1.2","97","Application Data"
"456","2022-11-15 16:18:03.269452","0.035103","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.238? Tell 12.227.228.129"
"457","2022-11-15 16:18:03.269452","0.000000","Zhejiang_17:e3:da","4c:11:bf:17:e3:da","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 192.168.1.1? Tell 192.168.1.108"
"458","2022-11-15 16:18:03.269452","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.252? Tell 12.227.228.129"
"459","2022-11-15 16:18:03.269452","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.247? Tell 12.227.228.129"
"460","2022-11-15 16:18:03.320302","0.050850","52.96.179.226","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57335","TCP","97","[TCP Retransmission] 443  >  57335 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"461","2022-11-15 16:18:03.324124","0.003822","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57339","TCP","97","[TCP Retransmission] 443  >  57339 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"462","2022-11-15 16:18:03.355040","0.030916","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57331","TCP","97","[TCP Retransmission] 443  >  57331 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
"463","2022-11-15 16:18:03.371783","0.016743","ArubaaHe_f6:ec:d2","00:0b:86:f6:ec:d2","","Broadcast","ff:ff:ff:ff:ff:ff","","IAP","56","Aruba Instant AP"
