file_name	seed	formula_x	formula_y
NA	NA	NA	NA
2022-09-18-19-18_seed_9766.png	9766	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-18_seed_1034.png	1034	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-18_seed_6910.png	6910	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-18_seed_2858.png	2858	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-18_seed_4262.png	4262	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-20_seed_3607.png	3607	runif(1, -1, 10) * x_i^2 - sin(y_i^3)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-21_seed_8015.png	8015	runif(1, -1, 10) * x_i^2 - sin(y_i^3)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-21_seed_1417.png	1417	runif(1, -1, 10) * x_i^2 - sin(y_i^3)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-21_seed_3312.png	3312	runif(1, -1, 10) * x_i^2 - sin(y_i^3)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-21_seed_8166.png	8166	runif(1, -1, 10) * x_i^2 - sin(y_i^3)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-09-18-19-42_seed_5367.png	5367	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2022-09-18-19-42_seed_7609.png	7609	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2022-09-18-19-42_seed_5322.png	5322	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
